FN,FP,TN,TP,accuracy,balanced_accuracy,f1,fpr,group_field,group_value,method,precision,recall,sample_count,specificity
18,0,0,2,0.1,0.05,0.181818,0.0,obfuscation_type,alias_command_reconstruction,wazuh_standard,1.0,0.1,20,0.0
6,0,0,14,0.7,0.35,0.823529,0.0,obfuscation_type,alias_command_reconstruction,lexical_pipeline,1.0,0.7,20,0.0
5,0,0,15,0.75,0.375,0.857143,0.0,obfuscation_type,alias_command_reconstruction,hybrid_or,1.0,0.75,20,0.0
18,0,0,2,0.1,0.05,0.181818,0.0,obfuscation_type,backtick_literal,wazuh_standard,1.0,0.1,20,0.0
3,0,0,17,0.85,0.425,0.918919,0.0,obfuscation_type,backtick_literal,lexical_pipeline,1.0,0.85,20,0.0
3,0,0,17,0.85,0.425,0.918919,0.0,obfuscation_type,backtick_literal,hybrid_or,1.0,0.85,20,0.0
0,0,0,20,1.0,0.5,1.0,0.0,obfuscation_type,base64_literal_decode_safe,wazuh_standard,1.0,1.0,20,0.0
0,0,0,20,1.0,0.5,1.0,0.0,obfuscation_type,base64_literal_decode_safe,lexical_pipeline,1.0,1.0,20,0.0
0,0,0,20,1.0,0.5,1.0,0.0,obfuscation_type,base64_literal_decode_safe,hybrid_or,1.0,1.0,20,0.0
19,0,0,1,0.05,0.025,0.095238,0.0,obfuscation_type,combined_obfuscation,wazuh_standard,1.0,0.05,20,0.0
6,0,0,14,0.7,0.35,0.823529,0.0,obfuscation_type,combined_obfuscation,lexical_pipeline,1.0,0.7,20,0.0
6,0,0,14,0.7,0.35,0.823529,0.0,obfuscation_type,combined_obfuscation,hybrid_or,1.0,0.7,20,0.0
18,0,0,2,0.1,0.05,0.181818,0.0,obfuscation_type,mixed_case,wazuh_standard,1.0,0.1,20,0.0
3,0,0,17,0.85,0.425,0.918919,0.0,obfuscation_type,mixed_case,lexical_pipeline,1.0,0.85,20,0.0
3,0,0,17,0.85,0.425,0.918919,0.0,obfuscation_type,mixed_case,hybrid_or,1.0,0.85,20,0.0
29,34,116,1,0.65,0.403333,0.030769,0.226667,obfuscation_type,none,wazuh_standard,0.028571,0.033333,180,0.773333
12,13,137,18,0.861111,0.756667,0.590164,0.086667,obfuscation_type,none,lexical_pipeline,0.580645,0.6,180,0.913333
12,39,111,18,0.716667,0.67,0.413793,0.26,obfuscation_type,none,hybrid_or,0.315789,0.6,180,0.74
18,0,0,2,0.1,0.05,0.181818,0.0,obfuscation_type,string_concatenation,wazuh_standard,1.0,0.1,20,0.0
1,0,0,19,0.95,0.475,0.974359,0.0,obfuscation_type,string_concatenation,lexical_pipeline,1.0,0.95,20,0.0
1,0,0,19,0.95,0.475,0.974359,0.0,obfuscation_type,string_concatenation,hybrid_or,1.0,0.95,20,0.0
